ID;marca1;marca2;IDMARCA;Carro;IDMARCA;Moto;;;;;
;;;70;BOXSTER;135;MAJESTY;;;;;
;;;70;CAYENNE;135;MT-03;;;;;
;;;70;CAYMAN;135;NEO AT;;;;;
;;;70;PANAMERA;135;RD 135;;;;;
;;;24;21 SEDAN;135;ROYAL STAR;;;;;
;;;24;CLIO;135;TDM;;;;;
;;;24;DUSTER;135;TDR 180;;;;;
;;;24;EXPRESS;135;TRX;;;;;
;;;24;FLUENCE;135;TT-R;;;;;
;;;24;KANGOO;135;V-MAX 1200;;;;;
;;;24;LAGUNA;135;WR 250F;;;;;
;;;24;LOGAN;135;XJR;;;;;
;;;24;MASTER;135;XT 660R;;;;;
;;;24;MEGANE;135;XTZ 125;;;;;
;;;24;SAFRANE;135;MIDNIGHT STAR XVS;;;;;
;;;24;SANDERO;135;YFS;;;;;
;;;24;SCENIC;59;YES EN 125;;;;;
;;;24;SYMBOL;7;SHADOW;;;;;
;;;24;TRAFIC;246;XM;;;;;
;;;24;TWINGO;253;LAMBRETA;;;;;
;;;137;9000;269;SCOOTER;;;;;
;;;162;SL-2;176;ATV;;;;;
;;;130;CORDOBA;176;JAGUAR;;;;;
;;;130;IBIZA;176;RT;;;;;
;;;130;INCA;281;ZS 200;;;;;
;;;142;FORTWO;282;BW 125;;;;;
;;;21;ACTYON SPORTS;254;KART;;;;;
;;;21;CHAIRMAN;7;DREAM;;;;;
;;;21;ISTANA;135;RX;;;;;
;;;21;KORANDO;294;WALK MACHINE;;;;;
;;;21;KYRON;7;HERO;;;;;
;;;21;MUSSO;7;NC 700X;;;;;
;;;21;REXTON;135;DRAG STAR;;;;;
;;;8;FORESTER;170;BAIO;;;;;
;;;8;IMPREZA;170;KDX;;;;;
;;;8;LEGACY;59;B-KING GSX 1300;;;;;
;;;8;OUTBACK;281;125 ZS;;;;;
;;;8;SVX;178;SR;;;;;
;;;8;TRIBECA;194;DY50;;;;;
;;;8;VIVIO;212;NAKED;;;;;
;;;59;BALENO;212;RACER;;;;;
;;;59;GRAND VITARA;212;TEXAS;;;;;
;;;59;IGNIS;7;CRF 110/150;;;;;
;;;59;JIMNY;135;XJ6;;;;;
;;;59;SUPER CARRY;135;LANDER XTZ 250;;;;;
;;;59;SWIFT;135;ALBA;;;;;
;;;59;SX4;135;FROG;;;;;
;;;59;VITARA;135;LIBERO;;;;;
;;;59;WAGON R;135;GLADIATOR;;;;;
;;;146;STARK;135;MEST;;;;;
;;;23;AVALON;135;ECCY;;;;;
;;;23;BANDEIRANTE;135;PASSOL;;;;;
;;;23;CAMRY;135;EC-02;;;;;
;;;23;CELICA;135;YZ 85LW;;;;;
;;;23;COROLLA;135;V-STAR;;;;;
;;;23;CORONA;135;PAS;;;;;
;;;23;HILUX;135;AEROX;;;;;
;;;23;LAND CRUISER;135;MORPHOUS;;;;;
;;;23;MR-2;135;XF50X;;;;;
;;;23;PASEO;135;LAGEND;;;;;
;;;23;PREVIA;135;TZR;;;;;
;;;23;RAV4;135;QT50;;;;;
;;;23;SUPRA;234;SHARK;;;;;
;;;149;PANTANAL;7;FURY;;;;;
;;;149;T-4;7;STUNNER;;;;;
;;;53;400 SERIES;7;CB 50;;;;;
;;;53;850;7;BOLDOR CB 900;;;;;
;;;53;900 SERIES;7;CBF 600;;;;;
;;;2;AMAROK;7;CBR 400RR;;;;;
;;;2;APOLLO;7;CBX 1000;;;;;
;;;2;BORA;7;CD 125;;;;;
;;;2;CARAVELLE;7;ML 125;;;;;
;;;2;CORRADO;7;NSR 500;;;;;
;;;2;EOS;7;RC;;;;;
;;;2;EUROVAN;7;PAN-EUROPEAN ST;;;;;
;;;2;FOX;7;TURUNA 125;;;;;
;;;2;FUSCA;7;VTR;;;;;
;;;2;GOL;7;AFRICA TWIN XRV 750;;;;;
;;;2;GOLF;297;MZ 250;;;;;
;;;2;JETTA;297;KAPRA;;;;;
;;;2;KOMBI;297;RALLYE;;;;;
;;;2;LOGUS;297;PASSEIO;;;;;
;;;2;PARATI;59;BANDIT 400;;;;;
;;;2;PASSAT;59;BANDIT 600;;;;;
;;;2;POINTER;59;BANDIT GSF 750;;;;;
;;;2;POLO;59;BANDIT 1200;;;;;
;;;2;SANTANA;59;HAYABUSA;;;;;
;;;2;SAVEIRO;59;INTRUDER CUSTOM;;;;;
;;;2;SPACEFOX;59;RV;;;;;
;;;2;TIGUAN;59;SV;;;;;
;;;2;TOUAREG;59;MARAUDER VZ;;;;;
;;;2;VOYAGE;7;CG CARGO/JOB;;;;;
